,Airline,Source,Destination,Day,Month,Route,Dep_hour,Dep_min,Dur_hour,Dur_min,Arr_hour,Arr_min,stop,price
0,GO FIRST,Bangalore,Delhi,25,Oct,BLR--->DEL,6,0,02,40,8,40,non-stop,7487
1,GO FIRST,Bangalore,Delhi,25,Oct,BLR--->DEL,21,15,02,40,23,55,non-stop,7487
2,SpiceJet,Bangalore,Delhi,25,Oct,BLR--->DEL,2,10,02,40,4,50,non-stop,7488
3,Indigo,Bangalore,Delhi,25,Oct,BLR--->DEL,12,55,02,45,15,40,non-stop,7488
4,Indigo,Bangalore,Delhi,25,Oct,BLR--->DEL,14,35,02,45,17,20,non-stop,7488
5,SpiceJet,Bangalore,Delhi,25,Oct,BLR--->DEL,22,35,02,45,1,20,non-stop,7488
6,Indigo,Bangalore,Delhi,25,Oct,BLR--->DEL,5,30,02,50,8,20,non-stop,7488
7,Indigo,Bangalore,Delhi,25,Oct,BLR--->DEL,7,50,02,50,10,40,non-stop,7488
8,Indigo,Bangalore,Delhi,25,Oct,BLR--->DEL,9,40,02,50,12,30,non-stop,7488
9,Indigo,Bangalore,Delhi,25,Oct,BLR--->DEL,17,40,02,50,20,30,non-stop,7488
10,Indigo,Bangalore,Delhi,25,Oct,BLR--->DEL,18,35,02,50,21,25,non-stop,7488
11,SpiceJet,Bangalore,Delhi,25,Oct,BLR--->DEL,19,10,02,50,22,0,non-stop,7488
12,Indigo,Bangalore,Delhi,25,Oct,BLR--->DEL,20,45,02,50,23,35,non-stop,7488
13,Indigo,Bangalore,Delhi,25,Oct,BLR--->DEL,21,30,02,50,0,20,non-stop,7488
14,SpiceJet,Bangalore,Delhi,25,Oct,BLR--->DEL,6,5,03,00,9,5,non-stop,7488
15,AirAsia,Bangalore,Delhi,25,Oct,BLR--->DEL,22,10,02,25,0,35,non-stop,7489
16,AirAsia,Bangalore,Delhi,25,Oct,BLR--->DEL,11,25,02,40,14,5,non-stop,7489
17,AirAsia,Bangalore,Delhi,25,Oct,BLR--->DEL,19,45,02,50,22,35,non-stop,7489
18,Vistara,Bangalore,Delhi,25,Oct,BLR--->DEL,17,55,02,35,20,30,non-stop,7489
19,Vistara,Bangalore,Delhi,25,Oct,BLR--->DEL,21,10,02,35,23,45,non-stop,7489
20,Vistara,Bangalore,Delhi,25,Oct,BLR--->DEL,7,0,02,40,9,40,non-stop,7489
21,Vistara,Bangalore,Delhi,25,Oct,BLR--->DEL,8,0,02,40,10,40,non-stop,7489
